M1,M2,M3,M4,M5,M6
0,0,0,0,0,0
0.28412,0.11399,0.26804,0.28679,0.070535,0.10154
0.57555,0.23077,0.543,0.5825,0.14311,0.20497
0.87454,0.35043,0.82512,0.88749,0.21782,0.31036
1.1813,0.47307,1.1146,1.2022,0.29472,0.41774
1.4963,0.59879,1.4118,1.5269,0.37393,0.52716
1.8196,0.72769,1.717,1.8622,0.45552,0.63869
2.1515,0.85988,2.0303,2.2085,0.53959,0.75237
2.4925,0.99548,2.3522,2.5663,0.62625,0.86825
2.8428,1.1346,2.6829,2.9361,0.71561,0.98641
3.2028,1.2774,3.0228,3.3184,0.80777,1.1069
3.5729,1.4239,3.3722,3.7138,0.90285,1.2298
3.9533,1.5743,3.7314,4.1229,1.001,1.3551
4.3445,1.7288,4.1009,4.5464,1.1023,1.4829
4.747,1.8875,4.481,4.9849,1.2069,1.6133
5.1611,2.0506,4.8721,5.4392,1.315,1.7464
5.5873,2.2181,5.2748,5.9099,1.4268,1.8822
6.026,2.3903,5.6893,6.398,1.5423,2.0208
6.4779,2.5674,6.1163,6.9043,1.6617,2.1623
6.9434,2.7495,6.5561,7.4297,1.7853,2.3067
7.423,2.9368,7.0094,7.9752,1.9133,2.4542
7.9173,3.1296,7.4766,8.5418,2.0458,2.6048
8.427,3.328,7.9584,9.1306,2.183,2.7587
8.9527,3.5323,8.4554,9.7428,2.3253,2.9158
9.495,3.7426,8.9682,10.38,2.4727,3.0764
10.055,3.9593,9.4975,11.043,2.6257,3.2404
10.633,4.1826,10.044,11.733,2.7844,3.4081
11.229,4.4128,10.608,12.452,2.9492,3.5795
11.846,4.6501,11.192,13.202,3.1203,3.7547
12.483,4.8949,11.795,13.984,3.2982,3.9338
13.142,5.1475,12.418,14.8,3.4832,4.117
13.823,5.4081,13.063,15.653,3.6755,4.3044
14.528,5.6773,13.73,16.544,3.8758,4.4961
15.257,5.9552,14.42,17.476,4.0843,4.6923
16.013,6.2424,15.135,18.452,4.3015,4.893
16.795,6.5391,15.876,19.473,4.528,5.0985
17.606,6.846,16.644,20.544,4.7643,5.3088
18.447,7.1633,17.441,21.666,5.0109,5.5242
19.319,7.4917,18.267,22.845,5.2684,5.7447
20.223,7.8316,19.124,24.082,5.5376,5.9707
21.163,8.1835,20.014,25.384,5.8191,6.2021
22.138,8.5481,20.939,26.753,6.1136,6.4393
23.152,8.9259,21.9,28.194,6.4221,6.6824
24.206,9.3177,22.899,29.714,6.7454,6.9316
25.302,9.7241,23.939,31.317,7.0844,7.1871
26.443,10.146,25.022,33.011,7.4403,7.4492
27.631,10.584,26.149,34.801,7.814,7.718
28.869,11.038,27.323,36.695,8.2069,7.9938
30.16,11.511,28.548,38.701,8.6203,8.2768
31.506,12.002,29.826,40.83,9.0557,8.5673
32.91,12.513,31.16,43.09,9.5145,8.8656
34.377,13.045,32.554,45.492,9.9986,9.1719
35.911,13.599,34.01,48.05,10.51,9.4865
37.514,14.177,35.534,50.776,11.05,9.8097
39.191,14.778,37.128,53.686,11.622,10.142
40.948,15.406,38.798,56.797,12.228,10.483
42.789,16.062,40.549,60.127,12.87,10.835
44.719,16.746,42.385,63.697,13.552,11.196
46.745,17.461,44.313,67.533,14.278,11.567
48.873,18.209,46.338,71.659,15.05,11.949
51.109,18.992,48.468,76.107,15.872,12.343
53.462,19.812,50.709,80.911,16.751,12.748
55.94,20.671,53.069,86.109,17.689,13.165
58.551,21.572,55.558,91.746,18.694,13.595
61.305,22.518,58.184,97.874,19.772,14.038
64.214,23.511,60.958,104.55,20.929,14.494
67.288,24.556,63.891,111.84,22.174,14.965
70.541,25.655,66.996,119.83,23.516,15.451
73.986,26.812,70.286,128.6,24.965,15.952
77.64,28.032,73.776,138.26,26.533,16.469
81.519,29.318,77.483,148.94,28.234,17.003
85.642,30.677,81.425,160.79,30.082,17.554
90.03,32.114,85.623,173.97,32.095,18.124
94.706,33.634,90.099,188.71,34.294,18.713
99.697,35.245,94.878,205.24,36.702,19.321
105.03,36.953,99.988,223.89,39.347,19.951
110.74,38.767,105.46,245.02,42.26,20.603
116.86,40.696,111.33,269.1,45.479,21.277
123.43,42.748,117.64,296.7,49.048,21.976
130.5,44.937,124.43,328.54,53.022,22.699
138.12,47.272,131.75,365.54,57.461,23.449
146.34,49.769,139.66,408.88,62.443,24.227
155.24,52.442,148.22,460.08,68.06,25.033
164.89,55.308,157.52,521.18,74.424,25.87
175.37,58.386,167.62,594.9,81.674,26.74
