,AAMT,AAWT,ChainID,DDG,MT_DEPTH,MT_OSP,MT_RSA,MT_SSE,Outcome,Pos,Response,WT_DEPTH,WT_OSP,WT_RSA,WT_SSE
AAMT,1.0,-0.01406814363993084,-0.1638553982915908,0.14632112593597735,-0.24293983973839683,-0.12927320912053153,0.10596990021976474,0.2235719099313812,0.19663482457918804,-0.07617858457016881,-0.13187976727777867,-0.24745447739080184,-0.09756451149523115,0.1071149036625644,0.2093765817020568
AAWT,-0.01406814363993084,1.0,0.13650622254476913,0.12695632202762652,-0.04507235537429712,0.048884648933895755,0.0014256821571785303,0.017413423046263213,0.04696566432860132,0.1527988629430194,-0.17146646335014765,-0.13262607257356884,-0.05768930482911195,0.09990018385223762,0.033324263821389984
ChainID,-0.1638553982915908,0.13650622254476913,1.0,-0.11662931062919964,0.07153587573416319,0.08828295727335662,-0.15097310226873806,-0.6853417043818063,-0.16091750001955962,0.8873387456626176,0.07395121367399944,0.03597928311767706,0.08861602998633877,-0.08782149471353269,-0.6112390344850092
DDG,0.14632112593597735,0.12695632202762652,-0.11662931062919964,1.0,-0.41924529882567285,-0.21752256626631478,0.35527249190847876,0.22053700070123697,0.7044450224758736,-0.11624106755018529,-0.10667044549848081,-0.4919217452615095,-0.3891989259037617,0.43712985227512846,0.19881469910759736
MT_DEPTH,-0.24293983973839683,-0.04507235537429712,0.07153587573416319,-0.41924529882567285,1.0,0.6004228380541341,-0.7220473666526117,0.01354629334476943,-0.36457162983235514,0.10644505513068071,0.03706636905042398,0.9357984663796304,0.7364049397465263,-0.713927782480656,0.04313000393209359
MT_OSP,-0.12927320912053153,0.048884648933895755,0.08828295727335662,-0.21752256626631478,0.6004228380541341,1.0,-0.8411062571118871,0.20936079374140149,-0.27652387924153216,0.08600669402115536,0.006005610121649038,0.5085670324034142,0.8595570191642178,-0.7197321902059063,0.2616937996351137
MT_RSA,0.10596990021976474,0.0014256821571785303,-0.15097310226873806,0.35527249190847876,-0.7220473666526117,-0.8411062571118871,1.0,-0.06009822059905192,0.39000964524530085,-0.16054630166844502,-0.05292057054162984,-0.675148514620338,-0.8925471715179502,0.9056857300047518,-0.11464780756858878
MT_SSE,0.2235719099313812,0.017413423046263213,-0.6853417043818063,0.22053700070123697,0.01354629334476943,0.20936079374140149,-0.06009822059905192,1.0,0.1762647853993029,-0.5990214027623478,-0.15162236114191788,-0.0021173318550197833,0.1510081536335085,-0.06815390677290516,0.9473859724787944
Outcome,0.19663482457918804,0.04696566432860132,-0.16091750001955962,0.7044450224758736,-0.36457162983235514,-0.27652387924153216,0.39000964524530085,0.1762647853993029,1.0,-0.14360240951941428,-0.10355471173475743,-0.4069184711389177,-0.4040725668808226,0.43335556562470856,0.14419162460276236
Pos,-0.07617858457016881,0.1527988629430194,0.8873387456626176,-0.11624106755018529,0.10644505513068071,0.08600669402115536,-0.16054630166844502,-0.5990214027623478,-0.14360240951941428,1.0,0.0826239564618606,0.04827873823046588,0.12554293487661203,-0.11750072842822624,-0.5377642079369551
Response,-0.13187976727777867,-0.17146646335014765,0.07395121367399944,-0.10667044549848081,0.03706636905042398,0.006005610121649038,-0.05292057054162984,-0.15162236114191788,-0.10355471173475743,0.0826239564618606,1.0,0.08785594581926237,0.0857107554907961,-0.13171510331537126,-0.11467676213702281
WT_DEPTH,-0.24745447739080184,-0.13262607257356884,0.03597928311767706,-0.4919217452615095,0.9357984663796304,0.5085670324034142,-0.675148514620338,-0.0021173318550197833,-0.4069184711389177,0.04827873823046588,0.08785594581926237,1.0,0.7098901459532921,-0.7224981232594331,0.028096957165840982
WT_OSP,-0.09756451149523115,-0.05768930482911195,0.08861602998633877,-0.3891989259037617,0.7364049397465263,0.8595570191642178,-0.8925471715179502,0.1510081536335085,-0.4040725668808226,0.12554293487661203,0.0857107554907961,0.7098901459532921,1.0,-0.9027101702815876,0.20638108553641363
WT_RSA,0.1071149036625644,0.09990018385223762,-0.08782149471353269,0.43712985227512846,-0.713927782480656,-0.7197321902059063,0.9056857300047518,-0.06815390677290516,0.43335556562470856,-0.11750072842822624,-0.13171510331537126,-0.7224981232594331,-0.9027101702815876,1.0,-0.1258826257582784
WT_SSE,0.2093765817020568,0.033324263821389984,-0.6112390344850092,0.19881469910759736,0.04313000393209359,0.2616937996351137,-0.11464780756858878,0.9473859724787944,0.14419162460276236,-0.5377642079369551,-0.11467676213702281,0.028096957165840982,0.20638108553641363,-0.1258826257582784,1.0
