Component,Relevance
1.0,14.067894180109311
2.0,10.609768183064753
3.0,9.606414986251238
4.0,7.62806305600937
5.0,6.94158608333518
6.0,5.73553253433188
7.0,5.157501006977456
8.0,5.087360387800791
9.0,4.3161225114922575
10.0,4.106800001035803
11.0,3.9593004088183332
12.0,3.5928080201110637
13.0,3.411430813788755
14.0,3.01915082742824
15.0,2.8431962405733917
16.0,2.3920931924230464
17.0,2.1242551175696485
18.0,1.607332276103854
19.0,1.5091371833411982
20.0,1.0089629593095766
21.0,0.7200862255079582
22.0,0.4500946019492196
23.0,0.10510920266768979
