Feature,Average,Standar Deviation,Variance,Max Value,Min Value
param1,-4.5527233386897565,1.5659787090803794,2.4522893172930513,0.9999278634450001,-8.63930446139
param2,-3.9113904530725883,2.0966899431764654,4.39610871781733,1.0,-10.5799667398
param3,-5.234368839117845,3.2111265502917923,10.311333721988866,0.964509533389,-16.6096404744
param4,6.23030601827821,0.4458301212983735,0.19876449705692242,6.906890595610001,4.90862079175
param5,-2.2135519502821683,2.712476237931859,7.357527341344971,0.807354922058,-15.9641232565
param6,-5.706247088061254,5.580697204456244,31.144181287825738,0.7261336731820001,-23.3774021515
param7,-16.328004478209092,6.65404885514776,44.27636616669322,-5.770594194400001,-40.576066797399996
param8,-2.4430830932673873,2.7473681633514326,7.548031824997024,2.98806658107,-9.05236825138
param9,-2.879780641263618,4.8656745005496616,23.6747883452992,1.28605313438,-20.7275280432
param10,0.6988527905362552,2.7296473321469814,7.450974557897133,2.32192809489,-20.1604605235
param11,-3.7284749082322515,2.2895598283318566,5.2420842075110015,1.0,-11.6743221743
param12,1.6506692531657599,0.7169044795551455,0.513952032806234,3.32192809489,0.111699072197
param13,3.0524727086134535,2.1614026520732517,4.671661424389286,7.64385618977,0.230694897122
param14,8.702890686672646,0.01846118410621094,0.0003408153186034154,8.73131903103,8.66181371943
param15,2.2329921835709805,0.11300232622516905,0.012769525732299529,2.4826418003099997,1.7997504617
param16,4.900933914635,0.7741154917647068,0.599254794590114,6.53942250546,3.73335434061
