x_values,response
0.0,0.24588000000000002
0.10101,0.017287999999999998
0.20202,-3.9819
0.30303,0.27636
0.40404,0.49763999999999997
0.50505,0.6574800000000001
0.60606,3.2487
0.70707,-3.7056
0.80808,0.66468
0.90909,-1.8536
1.0101,1.0294
1.1111,1.1816
1.2121,2.3174
1.3131,1.5168
1.4141,1.52
1.5152,0.7551800000000001
1.6162,1.4257
1.7172,2.2328
1.8182,2.2481
1.9192,4.9181
2.0202,1.6178
2.1212,2.1829
2.2222,2.1415
2.3232,5.1504
2.4242,2.7862
2.5253,5.9637
2.6263,2.1154
2.7273,2.9046
2.8283,1.1404
2.9293,3.3131
3.0303,5.1738
3.1313,3.2116
3.2323,3.2029
3.3333,3.2825
3.4343,3.5811
3.5354,3.3001
3.6364,2.5647
3.7374,4.2324
3.8384,4.0126
3.9394,3.8032
4.0404,3.9482
4.1414,-0.30966
4.2424,4.2
4.3434,4.7241
4.4444,4.6312
4.5455,4.4713
4.6465,1.9313
4.7475,4.3728
4.8485,5.1942
4.9495,4.8686
5.0505,5.1435
5.1515,5.0124
5.2525,5.3259
5.3535,5.7999
5.4545,1.3980000000000001
5.5556,0.589
5.6566,5.4619
5.7576,5.7172
5.8586,5.9119
5.9596,8.9115
6.0606,6.3674
6.1616,6.4843
6.2626,6.4965
6.3636,4.0136
6.4646,3.6647
6.5657,6.9278
6.6667,6.4721
6.7677,9.6753
6.8687,11.079
6.9697,7.2233
7.0707,7.189
7.1717,5.8247
7.2727,5.7378
7.3737,7.6185
7.4747,7.5405
7.5758,6.0283
7.6768,7.4897
7.7778,7.4866
7.8788,7.8669
7.9798,7.801
8.0808,7.4811
8.1818,8.0907
8.2828,7.8932
8.3838,8.3062
8.4848,12.863
8.5859,9.009
8.6869,8.3515
8.7879,8.7488
8.8889,9.2294
8.9899,9.9374
9.0909,17.006
9.1919,9.1911
9.2929,9.0407
9.3939,9.2576
9.4949,9.7728
9.596,14.152999999999999
9.697000000000001,10.062999999999999
9.798,9.6447
9.899,9.8101
10.0,5.0988
